temp,feelsLike,pressure,humidity,clouds,windSpeed,windDir,gustSpeed,result
22.0,22.9,969.0,100.0,100.0,4.1,60.0,4.1,1
23.0,23.8,971.0,94.0,87.0,1.0,175.0,2.0,1
23.0,23.8,970.0,94.0,87.0,2.1,340.0,2.1,1
23.0,23.8,969.0,94.0,87.0,1.5,350.0,1.6,1
22.0,22.9,965.0,100.0,87.0,1.0,320.0,1.2,1
25.0,25.9,965.0,88.0,87.0,1.5,180.0,2.0,1
25.0,25.9,969.0,88.0,25.0,1.5,0.0,1.6,1
24.0,24.9,965.0,94.0,87.0,1.0,125.0,2.4,1
24.0,24.9,965.0,94.0,87.0,1.0,105.0,4.0,1
29.0,31.8,967.0,65.0,50.0,3.1,200.0,5.6,1
30.0,31.2,967.0,51.0,0.0,2.6,70.0,2.8,1
30.0,31.2,968.0,51.0,0.0,2.1,80.0,2.2,1
28.0,29.6,970.0,61.0,99.0,1.0,0.0,1.0,1
26.0,26.6,968.0,73.0,98.0,2.6,340.0,2.8,1
26.0,26.6,969.0,73.0,100.0,2.1,40.0,2.2,1
35.9,39.3,1004.0,41.0,50.0,2.1,270.0,5.2,1
28.0,33.4,1006.0,88.0,9.0,1.5,200.0,6.4,1
30.0,38.5,1006.0,83.0,0.0,3.1,200.0,7.2,1
30.0,38.5,1006.0,83.0,44.0,5.1,220.0,7.2,1
31.0,40.5,1008.0,79.0,100.0,3.6,210.0,5.6,1
31.0,38.8,1008.0,74.0,58.0,3.1,220.0,6.8,1
31.0,37.6,1008.0,70.0,50.0,3.1,210.0,5.2,1
34.0,43.5,1005.0,63.0,88.0,6.2,90.0,6.2,1
30.0,36.0,1006.0,74.0,94.0,4.1,170.0,6.0,1
25.4,26.2,1007.0,85.0,25.0,1.5,140.0,4.8,1
27.0,31.2,1007.0,94.0,90.0,2.6,230.0,4.0,1
29.2,35.1,1008.0,79.0,25.0,2.4,140.0,5.6,1
30.0,37.4,1008.0,79.0,46.0,3.1,200.0,7.2,1
29.6,38.1,1006.0,86.0,37.0,0.4,235.0,5.2,1
27.0,30.5,1005.0,88.0,95.0,4.1,260.0,4.8,1
27.0,30.5,1004.0,88.0,89.0,4.1,150.0,5.6,1
27.4,31.1,1006.0,84.0,50.0,0.0,235.0,4.0,1
27.0,30.5,1005.0,88.0,87.0,1.5,190.0,5.6,1
27.2,31.3,1008.0,90.0,12.0,2.8,240.0,3.6,1
32.0,41.9,1004.0,74.0,80.0,4.1,120.0,4.1,1
31.0,40.5,1005.0,79.0,96.0,3.6,120.0,4.4,1
27.0,30.1,1007.0,84.0,37.0,2.1,90.0,4.8,1
28.0,31.8,1008.0,78.0,97.0,3.6,320.0,6.4,1
27.0,30.5,1007.0,88.0,97.0,6.2,300.0,6.2,1
25.0,25.9,1007.0,88.0,99.0,4.1,100.0,4.8,1
25.0,25.9,1006.0,88.0,97.0,5.1,150.0,5.1,1
25.0,26.0,1006.0,94.0,99.0,4.1,140.0,4.8,1
24.0,24.9,1008.0,94.0,100.0,7.2,340.0,7.2,1
26.0,27.1,1006.0,94.0,44.0,4.1,210.0,4.4,1
26.0,27.0,1008.0,88.0,90.0,1.5,260.0,4.0,1
30.0,38.5,1008.0,83.0,60.0,1.0,0.0,7.2,1
27.0,30.0,1007.0,83.0,88.0,1.0,0.0,5.6,1
29.0,35.4,1006.0,83.0,91.0,1.5,190.0,8.0,1
28.0,34.5,1006.0,94.0,89.0,1.0,0.0,8.0,1
28.0,34.5,1006.0,94.0,92.0,1.0,0.0,7.6,1
26.0,27.0,1006.0,88.0,93.0,5.1,220.0,6.8,1
26.0,27.0,1006.0,88.0,93.0,4.1,30.0,6.8,1
25.0,26.0,1007.0,94.0,98.0,2.1,110.0,6.8,1
26.0,27.0,1006.0,88.0,99.0,4.6,190.0,4.6,1
30.0,37.4,1006.0,79.0,50.0,2.6,230.0,6.8,1
29.0,35.4,1006.0,83.0,54.0,2.1,260.0,2.1,1
27.0,31.2,1005.0,94.0,98.0,3.6,200.0,8.0,1
30.0,38.5,1005.0,83.0,25.0,2.6,180.0,7.2,1
30.0,38.5,1006.0,83.0,47.0,4.1,320.0,5.6,1
29.3,37.7,1004.0,88.0,71.0,3.14,166.0,3.14,1
25.0,25.9,1006.0,88.0,96.0,3.1,300.0,3.1,1
24.0,25.1,1005.0,100.0,95.0,3.1,170.0,8.0,1
33.0,43.5,1003.0,70.0,80.0,4.6,100.0,6.8,1
30.0,38.5,1008.0,83.0,60.0,3.1,230.0,5.6,1
30.0,38.5,1008.0,83.0,86.0,2.6,210.0,4.0,1
28.0,32.6,1007.0,83.0,88.0,3.1,330.0,3.6,1
